하/V
냉전/N
정권/N
의사/N
모국/N
공격/N
방식/N
고위급/N
기조/N
인간/N
핵무기/N
나/V
교섭/N
제반/N
성과/N
공감대/N
취약/N
군무원/N
규정/N
비자/N
범위/N
동원/N
실용/N
선순환/N
한중/N
유리/N
포기/N
숙소/N
근본/N
생/N
전체/N
장치/N
사전/N
20/N
생존/N
안심/N
해양/N
거주/N
라/N
편익/N
두/V
위주/N
보완/N
돕/V
통신/N
예방/N
적용/N
육/N
ASEAN/N
아울러/A
동/N
민군/N
취득/N
도움/N
학점/N
보험/N
고속/N
대우/N
요인/N
용/N
고통/N
공고히/A
위안부/N
경력/N
18/N
창설/N
SOFA/N
대상자/N
이주/N
열악하/V
복무자/N
근거/N
교/N
강대국/N
가지/V
위험/N
병무/N
행복/N
NLL/N
같/V
빈곤/N
진급/N
영역/N
계승/N
교역/N
아/N
홍보/N
채널/N
담당/N
사용/N
공급망/N
환자/N
보/V
월드컵/N
지식/N
많/V
고도/N
문재인/N
외/N
공/N
도덕/N
UN/N
동력/N
개인/N
평가/N
약화/N
시행/N
모병/N
특별/N
의식/N
아/I
개성/N
2012/N
인재/N
자금/N
유대/N
줄이/V
감시/N
정찰/N
태평양/N
굳건하/V
병/N
전담/N
직속/N
분쟁/N
기지/N
면회소/N
철저/N
분산/N
증강/N
권한/N
물류/N
논의/N
급변/N
사태/N
데/N
튼튼하/V
갖추/V
전/N
식/N
의견/N
역시/A
대회/N
폐기/N
둘러싸/V
봉급/N
합동/N
경주/N
DMZ/N
경제특구/N
개발도상국/N
보존/N
극복/N
대륙/N
망/N
최저/N
이러하/V
가칭/N
과학군/N
지평/N
횡단/N
고조/N
선양/N
매우/A
위기관리/N
경영/N
재건/N
사드/N
총체/N
대체/N
전사자/N
중동/N
D/N
축/N
일방/N
공개/N
장/N
ASEM/N
보강/N
고엽제/N
해상/N
가장/A
중단/N
주력/N
100/N
당당/A
무대/N
자격증/N
미치/V
물/N
김대중/N
연간/N
복합/N
타격/N
신속/N
실정/N
회/N
토대/N
기관/N
부담/N
재단/N
공관/N
폭/N
성숙/N
무/N
보/N
공급/N
어느/M
월/N
펼치/V
특정/N
강국/N
자산/N
비전/N
완벽/N
상생/N
이념/N
자료/N
설악산/N
젊/V
률/N
3000/N
국방력/N
모두/A
결과/N
PTSD/N
감안/N
폐지/N
일관/N
성명/N
올림픽/N
준수/N
인도주의/N
반대/N
확인/N
점차/A
모범/N
무한/N
니/N
생사/N
억지력/N
부상/N
다각/N
APEC/N
우려/N
력/N
제시/N
나진/N
면제/N
건립/N
질병/N
다방면/N
강하/V
거치/V
유라시아/N
사무국/N
저하/N
잠재력/N
평양/N
자세/N
안기부/N
수렴/N
제외/N
여야/N
중장기/N
철저히/A
고취/N
주거/N
고양/N
공간/N
갖/V
분리/N
궁극/N
우선/A
선택/N
조속히/A
분/N
잇/V
비율/N
장교/N
계급/N
안보리/N
사건/N
전반/N
사회단체/N
도약/N
창업/N
OECD/N
활발하/V
더불/V
이슈/N
충실/N
불안/N
헌법/N
수교/N
먼저/A
독도/N
03/N
국제무대/N
판단/N
편의/N
외상/N
사할린/N
지방/N
연/N
오부치/N
반/N
파트너십/N
시작/N
해병대/N
개량/N
우/N
프로젝트/N
남방/N
주/V
계기/N
앞장서/V
급여/N
직접/A
자기/N
선정/N
차세대/N
조달/N
친/N
급식/N
전제/N
계약/N
현재/N
협력체/N
독자/N
경보/N
발사/N
보직/N
억지/N
공존/N
자치/N
귀환/N
구성원/N
확정/N
공감/N
모두/N
강조/N
보상금/N
주장/N
저/N
주/N
장애/N
26/N
원천/N
흡수/N
산재/N
외교부/N
본국/N
향하/V
지구/N
국격/N
정립/N
융합/N
본부/N
직위/N
경쟁력/N
중남미/N
규범/N
증액/N
범죄/N
응징/N
한편/N
R/N
존경/N
임금/N
성실/N
요원/N
개입/N
증원/N
경찰/N
인구/N
안/A
협약/N
휴전선/N
집/N
일원/N
최고/N
자연/N
벗어나/V
형태/N
시베리아/N
답/V
외국인/N
늘/V
개설/N
때문/N
유럽/N
포용/N
소득/N
개념/N
팀/N
촉구/N
나들섬/N
강력히/A
사람/N
현상/N
라디오/N
경의선/N
13/N
입장/N
판문점/N
마/N
남한/N
천만/N
수입/N
19/N
심각하/V
진정하/V
60/N
사/N
본격/N
파견/N
물론/A
대국/N
Chain/N
뿐/N
부문/N
평등/N
함양/N
해체/N
거주국/N
물자/N
무역주의/N
바다/N
예정/N
정기/N
선봉/N
교통/N
해주/N
현지/N
500/N
비하/V
이미지/N
일부/N
업그레이드/N
WTO/N
인천/N
전화/N
000/N
휴가/N
그/N
군부대/N
의미/N
Kill/N
시범/N
평균/N
북일/N
개막/N
자긍심/N
매년/A
거점/N
한인/N
투입/N
억/N
정밀/N
방역/N
희망/N
작용/N
풍토/N
재정/N
장려/N
확고히/A
각급/N
부분/N
취하/V
영향/N
전액/N
보복/N
당국/N
특구/N
수도/N
원격/N
차단/N
금지/N
남북경제공동체/N
살리/V
제기/N
지원금/N
한글/N
농산물/N
차관/N
통행/N
전직/N
브랜드/N
통관/N
02/N
불용/N
상이/N
길/N
감면/N
생업/N
환수/N
계층/N
완비/N
정예강군/N
지자체/N
각국/N
징집병/N
의원/N
이룩하/V
청소년/N
아시안/N
출전/N
아젠다/N
단일/N
축구/N
사령부/N
국론/N
등급/N
동해/N
일본군/N
박물관/N
왜곡/N
성폭력/N
건강/N
편지/N
고용/N
민간단체/N
우발/N
유입/N
자문/N
재원/N
연수/N
경험/N
스마트/N
이바지/N
총괄/N
관점/N
천/N
키/N
뒷받침/N
계속/A
말/N
세우/V
바/N
NGO/N
그러나/A
배제/N
또/A
명확하/V
저해/N
별도/N
과거/N
급/N
목적/N
무공/N
방위력/N
중복/N
이미/A
구호/N
바로/A
위대하/V
동안/N
프로세스/N
2008/N
실험/N
실패/N
호주/N
중앙아시아/N
대두/N
실크로드/N
합/N
한계선/N
빠르/V
시일/N
금세기/N
양/N
확실하/V
200/N
사유지/N
현역/N
04/N
12/N
국가관/N
점유/N
행정부/N
원리/N
그동안/N
일정/N
북한인권재단/N
완성/N
정경/N
배상/N
전문인/N
여러/M
기타/N
구/N
감독/N
관련국/N
이사국/N
경제력/N
가구/N
어렵/V
01/N
이질/N
결집/N
이명박/N
평화시/N
지연/N
올바르/V
활/N
태/N
국경/N
출범/N
신규/N
과거사/N
추천/N
정하/V
한·/N
상대/N
책/N
분위기/N
파괴/N
재회/N
어떠하/V
아프리카/N
이사회/N
거대/N
차기/N
연대/N
국내외/N
적응/N
근로자/N
상호주의/N
국토/N
앞당기/V
동포청/N
스트레스/N
토/N
주역/N
국제공조/N
집단/N
2002/N
부합/N
두/M
마약/N
초기/N
어려움/N
훼손/N
총리/N
참/N
훈련장/N
검증/N
관행/N
차이/N
예측/N
자체/N
설계/N
안전망/N
강제/N
산/N
모멘텀/N
유대감/N
필수/N
연금/N
국방비/N
실태/N
자연재해/N
강군/N
이끌/V
한중일/N
기하/V
수요/N
TV/N
사각지대/N
05/N
영상/N
발판/N
울/V
북민/N
무력/N
공식/N
의지/N
이제/A
부재/N
순직/N
장거리/N
지나/V
노/N
교전/N
2015/N
탈북민/N
항로/N
대신/N
종교/N
유의증/N
가정/N
발맞추/V
일류/N
무엇/N
누리/V
쌍방/N
상향/N
대결단/N
류/N
전방위/N
매개/N
협의회/N
정당/N
영향력/N
운행/N
드러나/V
충실히/A
원자력/N
종전/N
기획/N
법제/N
행위/N
손상/N
남북미/N
내부/N
경공업/N
수용/N
자율/N
긴급/N
수집/N
기록물/N
자존심/N
결의/N
회원국/N
지정/N
역/N
전자/N
남북통일/N
대안/N
최선/N
화상/N
전원/N
난민/N
새로/A
복리/N
공연/N
국무총리실/N
창조/N
학생/N
대부분/N
경기/N
게임/N
사실/N
결하/V
행동/N
문/N
경/N
살/V
단/N
젊은이/N
내리/V
국력/N
국정/N
수호/N
보람/N
적대/N
앞/N
유적/N
실무/N
보답/N
요양/N
등지/N
이사/N
초월/N
진작/N
주기/N
통일부/N
편찬/N
임명/N
언어/N
서로/A
환/N
상담/N
격차/N
법령/N
충원/N
파트너/N
기/N
조항/N
주적/N
입대/N
경계/N
성격/N
편중/N
대폭/N
얻/V
소재/N
거의/A
연습/N
잠수함/N
항공/N
타워/N
컨트롤/N
탄력/N
RCEP/N
수급/N
또는/A
직접/N
광역/N
주의/N
언제/A
신의주/N
통신망/N
품질/N
항만/N
KMPR/N
채/N
자국/N
극히/A
대적관/N
걸치/V
최단/N
한미일/N
벤처/N
기동/N
이견/N
속도/N
대학원/N
전국/N
대/V
가지/N
기본법/N
중립/N
과/N
기숙사/N
사업청/N
공영/N
2020/N
기업인/N
아웃소싱/N
특례/N
율/N
투표/N
상승/N
즐겁/V
리더십/N
AI/N
생활환경/N
배/N
치/N
보상비/N
작/V
노동/N
화하/V
예상/N
소요/N
반면/N
보조/N
비중/N
최대/N
무인/N
리더/N
생산/N
직결/N
ADB/N
공익/N
가속/N
소/N
격상/N
포럼/N
소방관/N
유연하/V
심의/N
보훈처/N
절대/N
제대로/A
미달/N
군용/N
열리/V
사례/N
쿼드/N
불요불급/N
사상자/N
영예/N
대중/N
월남전/N
지적/N
개소/N
서/N
제안/N
코리아/N
초래/N
확실히/A
동반/N
대미/N
한류/N
어떤/M
진료비/N
넘/V
불신/N
신뢰도/N
검찰/N
겠습/N
IT/N
피해자/N
부응/N
잠재/N
신고/N
각/N
견지/N
소음/N
타운/N
완전히/A
시기/N
가져오/V
차지/N
형평/N
일환/N
학업/N
복구/N
주요국/N
사망/N
계발/N
접촉/N
근원/N
침해/N
해제/N
국무/N
서/V
내외/N
곳/N
고/M
합작/N
차관급/N
립/N
400/N
상당/N
대일/N
초급/N
정전/N
악화/N
요소/N
지름길/N
상실/N
전방/N
의/N
단기/N
결/N
선포/N
기술병/N
친화/N
철회/N
협업/N
맞추/V
리/N
바꾸/V
이어지/V
차례/N
기울이/V
다른/M
책무/N
이동/N
정규전/N
지도/N
연구소/N
순조/N
PKO/N
수역/N
받아들이/V
다루/V
환동해/N
발휘/N
뒤/N
지원병/N
유급/N
충돌/N
아래/N
각각/N
인터넷/N
드높이/V
유럽연합/N
화합/N
선발/N
보수/N
지/N
보급/N
교통망/N
상품/N
해외여행/N
과감하/V
분담/N
경비/N
주둔/N
일체감/N
부모/N
육군/N
외교관/N
대표/N
이르/V
여행/N
관철/N
타결/N
발급/N
소지자/N
관광특구/N
어로/N
밀착/N
좋/V
조약/N
민간인/N
육·해·공군/N
긴밀히/A
의존/N
발효/N
전투력/N
격오지/N
대만/N
아픔/N
구간/N
출신/N
재발/N
열차/N
늘리/V
전념/N
동해선/N
연수원/N
70/N
숙원/N
사안/N
연구원/N
75/N
22/N
공생/N
몽골/N
처리/N
예비역/N
장관급/N
불가침/N
관/N
모/M
약소국/N
덤핑/N
휴전/N
외부/N
H/N
오히려/A
단호하/V
알선/N
확/A
성범죄/N
신중/N
보내/V
가계/N
북상/N
이벤트/N
사정/N
초석/N
불확실/N
학/N
국무총리/N
개국/N
해안/N
경제난/N
국위/N
데이터/N
지양/N
논리/N
유능/N
상존/N
억제력/N
적합/N
전역자/N
유동/N
협/N
제의/N
코로나/N
소비/N
능하/V
동북아더하기/N
쌍방향/N
핫라인/N
security/N
2000/N
태도/N
영원/N
맡기/V
대상국/N
예비/N
우방/N
방위비/N
발돋움/N
청사진/N
온/M
발언/N
소홀/N
환태평양/N
연례/N
마찰/N
입지/N
원회/N
대립/N
지구촌/N
human/N
인문/N
인접/N
분계선/N
해·공군/N
ABCD/N
멕시코/N
키/V
백신/N
사회생활/N
워킹/N
그룹/N
관계없이/A
외무/N
협진/N
치중/N
임/N
전근대/N
구하/V
ESC/N
모델/N
도전/N
입학/N
중견/N
쟁점/N
앙양/N
박/N
무너지/V
총력/N
궤도/N
평창/N
제약/N
클러스터/N
혜택/N
특전/N
후보/N
출발/N
노후/N
야/N
양질/N
명시/N
층/N
아파트/N
현장/N
구입/N
강요/N
의혹/N
쪽/N
고위력/N
연관/N
감사/N
소외/N
외무부/N
외출/N
강좌/N
객관/N
시야/N
후유증/N
근속/N
40/N
공헌/N
퇴역/N
훈장/N
국비/N
위성/N
구비/N
방어망/N
삼/V
무료/N
돔/N
학자금/N
다층/N
학비/N
선제/N
사이/N
창군/N
절벽/N
여론/N
녹색/N
큼/N
2011/N
교육부/N
법무부/N
주재/N
듣/V
720/N
이기주의/N
중시/N
SDGs/N
탄소/N
규명/N
로봇/N
2024/N
상임/N
시가/N
진상/N
시설물/N
공여/N
철거/N
교외/N
청와대/N
연차/N
주축/N
800/N
대한/A
연평균/N
선/N
원산/N
불가/N
적기/N
유용/N
경직/N
상식/N
이니셔티브/N
랜섬웨어/N
칠레/N
불법/N
보안/N
디자/N
록/N
한·중·일/N
서평화/N
외국/N
남·북/N
징집/N
한상/N
유형/N
다르/V
응급/N
귀국/N
동북아더/N
압력/N
외교력/N
경로/N
절박하/V
측/N
문화유산/N
평/N
섬/N
유적지/N
이/I
만주/N
발해/N
배타/N
가시/N
출입/N
남쪽/N
동질감/N
청산/N
드나들/V
중간/N
은행/N
녹화/N
설비/N
남포공단/N
식량난/N
가운데/N
서해안/N
신경/N
들/V
마음/N
해방/N
발/N
노무/N
14/N
해당/N
순기능/N
개발비/N
사이버전/N
공고하/V
11/N
입국/N
경평/N
절실하/V
후진/N
입주/N
편제/N
치유/N
거두/V
역동/N
인천공항/N
후진국/N
수학여행/N
위치/N
태평/N
양/M
동참/N
장차/A
SNS/N
한계/N
자연환경/N
군내/N
엄정/N
임하/V
조리/N
병제/N
호흡/N
정당하/V
하사/N
무관/N
Kil/N
유화/N
SLBM/N
반환/N
시험/N
오염/N
직면/N
김정은/N
영입/N
한미동맹/N
존엄/N
위원장/N
총/M
지금/N
정략/N
I/N
연도/N
핵무장/N
핵폐기/N
한국은행/N
300/N
②/N
길/V
①/N
발전법/N
산업체/N
업체/N
요/N
600/N
2004/N
발표/N
탈북/N
감소/N
직통/N
통보/N
농장/N
수정/N
대남/N
GDP/N
우선순위/N
공세/N
해병/N
가용/N
SOC/N
성능/N
소속감/N
홍수/N
파병/N
97/N
직/N
야기/N
분열/N
해주항/N
교포/N
이민/N
결의안/N
인권법/N
탈북자/N
일대/M
영유아/N
수자원/N
전통문화/N
먼지/N
미세/N
이런/M
이중/N
언론/N
어업/N
폐쇄/N
한국인/N
불능/N
독일/N
어선/N
메타버스/N
제품/N
전시관/N
악순환/N
아태/N
묶/V
커다랗/V
영농/N
동북/N
한데/N
연루/N
형사/N
비약/N
트라우마/N
부각/N
일대/N
남포/N
최상/N
제국/N
베이징/N
측면/N
대기/N
경원선/N
친선/N
단천/N
해결책/N
통과/N
2016/N
조업/N
27/N
관할/N
설명/N
마을/N
도록/N
맞이하/V
포인트/N
마찬가지/N
면회/N
만남/N
광장/N
식당/N
억류자/N
소속/N
중심지/N
인권위/N
자살/N
국운/N
아직/A
기축/N
750/N
잔존/N
영/N
혼란/N
신축/N
추세/N
한미군사동맹/N
재판/N
인증/N
한반/N
다수/N
생활수준/N
내수/N
마지막/N
나타나/V
2019/N
불구하/V
수평/N
교민청/N
의존도/N
늪/N
준하/V
잘못/A
일어나/V
직항로/N
광복/N
고려인/N
장소/N
조선족/N
65/N
포/N
본인/N
전무/N
직업병/N
간접/N
직교역/N
입영/N
호국/N
부서/N
경시/N
이유/N
밟/V
이외/N
사후/N
구분/N
대가/N
향후/N
엄격/N
동계/N
숙련/N
처벌/N
질환/N
풍조/N
책임지/V
군경/N
여야정/N
절실/N
119/N
천안함/N
고충/N
경수로/N
이/A
우라늄/N
2021/N
참가/N
농축/N
의료비/N
2030/N
중앙/N
458/N
퇴직/N
사랑/N
전공/N
남북문화/N
축적/N
KIDO/N
육아/N
공백/N
심리/N
지하자원/N
고급/N
물류망/N
일명/N
혹은/A
광범위/N
나서/V
남북러/N
전몰/N
신청자/N
증설/N
자식/N
남북중/N
입증/N
체/N
역점/N
제작/N
IMF/N
년대/N
개년/N
동일/N
국어/N
보호관/N
없애/V
도하/N
여전히/A
GVC/N
한・미/N
블럭/N
직장/N
시점/N
환영/N
알/V
현시점/N
지정학/N
소극/N
실비/N
제대군인/N
에도/N
셋째/N
기념/N
선거/N
수훈자/N
전용/N
풀/V
대한/N
둘째/N
진척/N
이렇/V
첫째/N
단순/N
한층/A
바르/V
출발점/N
꿈꾸/V
면/N
다국적/N
탄도/N
공무/N
준비금/N
낮/V
Peace/N
금/N
K/N
농수축/N
편리/N
수의/N
주체/N
기틀/N
한국군/N
획/N
KTX/N
역대/N
90/N
남-북/N
통일경제특구/N
복귀/N
안보실/N
손실/N
노태우/N
박정희/N
당국자/N
되풀이/N
품목/N
연령/N
관세/N
요하/V
부정/N
호봉/N
28/N
필/N
관사/N
부품/N
한반도인프라개발기구/N
이수/N
GCF/N
TKR/N
TCR/N
묘지/N
TSR/N
보전/N
월급/N
방제/N
학기/N
가점/N
임대/N
1325/N
소급/N
점증/N
전향/N
바람직하/V
상해/N
조화/N
단호히/A
투자비/N
경찰관/N
견인/N
협상력/N
단위/N
학군/N
피복/N
패러다임/N
재편/N
다지/V
힘/N
우위/N
중대장/N
진취/N
해외여행객/N
G/N
기록/N
재생/N
가스관/N
신뢰구/N
O/N
따뜻하/V
인근/N
치열/N
침체/N
관여/N
사무/N
정의/N
중견국/N
우대/N
전작/N
오랫동안/N
임차/N
정도/N
한글학교/N
존재/N
편입/N
95/N
금리/N
파국/N
대출/N
사관/N
와/I
커지/V
중소/N
개별/N
출산/N
자극/N
인원/N
북송/N
원산지/N
통화/N
카페리호/N
어로구/N
칭/N
유/N
소질/N
속초/N
춤/N
선배/N
지출/N
지하/N
후반/N
멘토링/N
관광객/N
원만하/V
모르/V
77/N
통일동산/N
그리/V
권리/N
포용력/N
등거리/N
원대하/V
운전면허/N
도민/N
다시/A
취항/N
보호법/N
등면적/N
기밀/N
강점기/N
전산/N
유효/N
알리/V
지표/N
꾸준히/A
氣/N
코리안/N
련/V
속감/N
친근하/V
주재관/N
조세/N
이웃/N
그치/V
단/M
족/N
법인세/N
데스크/N
성공단/N
경호/N
정규직/N
중심경/N
반세기/N
58/N
대책관/N
설계도/N
이산가/N
콜센터/N
과감히/A
남북경제협력공/N
이북/N
방송인/N
항공기/N
청취/N
출국/N
서독/N
발자취/N
AH/N
적십자/N
광복기념행사/N
낫/V
건/N
배가/N
블루오션/N
캠프/N
다큐멘터리/N
GNP/N
사진집/N
발표회/N
보하/V
F/N
모으/V
최적/N
허다하/V
환서/N
자격/N
동부/N
서부/N
결없이/A
260/N
대한민/N
하이웨이/N
일제/N
납북/N
회관/N
시금석/N
UR/N
문화원/N
거/N
감/N
보관/N
사회주의/N
료/N
소진/N
한하/V
돌파/N
이뤄지/V
화사업/N
노선/N
북한개발투자공/N
불황/N
빠지/V
EC/N
밖/N
허가/N
초안/N
2014/N
당시/N
하락/N
역부족/N
개도국/N
의탁/N
울/N
생필품/N
전후/N
의약품/N
회생/N
포스터/N
알아보/V
대담/N
민주통합당/N
한눈/N
대내외/N
남북경제연합/N
제휴/N
무상/N
사진/N
단일팀/N
가깝/V
유공자분/N
결국/A
적개심/N
마땅하/V
・/N
남북협력기금/N
41/N
31/N
일치/N
조국/N
특수전/N
기획단/N
52/N
연기/N
새누리당/N
배정/N
살아가/V
지원법/N
마치/V
현충원/N
첨예하/V
80/N
돌발/N
부딪히/V
지대하/V
방태세/N
240/N
뿌리/N
뽑/V
온상/N
각인/N
내내/A
떠올리/V
악습/N
구태/N
움직이/V
지원책/N
등장/N
원가/N
일소하/N
긴/A
부사/N
무비/N
호소/N
체불/N
자랑/N
스럽/V
약요인/N
연부액/N
탈출/N
약/N
취/N
수주/N
뭐/N
사업체/N
저조/N
하기/A
승격/N
발발/N
얽매이/V
46/N
차근차근/A
탑재/N
中/N
자발/N
든든하/V
의식주/N
소형/N
상당량/N
울타리/N
뻗/V
플루토늄/N
임박/N
감행/N
맞/N
국제협력단/N
추/V
김정일/N
KOICA/N
택하/V
국제교류/N
인턴/N
육과/N
직업교/N
그러면/A
렴/N
동결/N
투자자/N
절실히/A
MB/N
소송/N
독트린/N
압박/N
ISD/N
패트리어트/N
상반기/N
금년/N
독소/N
복수/N
은거지/N
수뇌부/N
북한군/N
적/V
지리/N
일련/N
탐지/N
우/V
실시간/N
Chan/N
